page,clicks,impressions,ctr_pct,position
https://rodenlaw.com/locations/south-carolina/myrtle-beach/socastee/socastee-village/,0,6,0,33.17
https://rodenlaw.com/locations/georgia/darien/ludowici/,0,5,0,6.6
https://rodenlaw.com/locations/georgia/darien/odum/,0,5,0,7.2
https://rodenlaw.com/locations/georgia/darien/screven/,0,5,0,6
https://rodenlaw.com/locations/georgia/savannah/eastside-savannah/,0,5,0,9.4
https://rodenlaw.com/locations/georgia/savannah/effingham-county/,0,5,0,8.8
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/ashley-river-road/,0,5,0,12.4
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/citadel-mall-area/,0,5,0,6.6
https://rodenlaw.com/locations/south-carolina/columbia/batesburg-leesville/,0,5,0,7.2
https://rodenlaw.com/locations/south-carolina/columbia/northeast-columbia/,0,5,0,4.2
https://rodenlaw.com/locations/south-carolina/columbia/south-congaree/,0,5,0,8
https://rodenlaw.com/locations/south-carolina/myrtle-beach/litchfield-beach/,0,5,0,12.8
https://rodenlaw.com/locations/south-carolina/north-charleston/wescott-plantation/,1,4,25.0,9.25
https://rodenlaw.com/locations/georgia/savannah/statesboro/,0,4,0,5.75
https://rodenlaw.com/locations/south-carolina/charleston/edisto-island/,0,4,0,9.75
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/carolina-park/,0,4,0,6.5
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/dunes-west/,0,4,0,8
https://rodenlaw.com/locations/south-carolina/columbia/woodfield/,0,4,0,6.25
https://rodenlaw.com/locations/south-carolina/myrtle-beach/burgess/,0,4,0,9.5
https://rodenlaw.com/locations/south-carolina/myrtle-beach/myrtle-beach/golden-mile/,0,4,0,7.75
https://rodenlaw.com/locations/south-carolina/myrtle-beach/wampee/,0,4,0,6.25
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/crowfield-plantation/,0,4,0,11
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/howe-hall/,0,4,0,7
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/ansonborough/,1,3,33.333,3.67
https://rodenlaw.com/locations/georgia/savannah/bloomingdale/,0,3,0,6
https://rodenlaw.com/locations/georgia/savannah/effingham-county/guyton/,0,3,0,8
https://rodenlaw.com/locations/georgia/savannah/effingham-county/south-effingham/,0,3,0,9
https://rodenlaw.com/locations/georgia/savannah/southside-savannah/georgetown-savannah/,0,3,0,5.33
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/wagener-terrace/,0,3,0,11
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/rivertowne/,0,3,0,33.67
https://rodenlaw.com/locations/south-carolina/myrtle-beach/forestbrook/,0,3,0,10.67
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/boulder-bluff/,0,3,0,10.33
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/sangaree/,0,3,0,34.67
https://rodenlaw.com/locations/georgia/darien/st-marys/,0,2,0,7
https://rodenlaw.com/locations/georgia/savannah/ardsley-park/,0,2,0,9
https://rodenlaw.com/locations/georgia/savannah/bryan-county/,0,2,0,2
https://rodenlaw.com/locations/georgia/savannah/effingham-county/marlow/,0,2,0,6
https://rodenlaw.com/locations/georgia/savannah/effingham-county/springfield/,0,2,0,9
https://rodenlaw.com/locations/georgia/savannah/hinesville/fort-stewart-area/,0,2,0,3.5
https://rodenlaw.com/locations/georgia/savannah/richmond-hill/city-center/,0,2,0,10
https://rodenlaw.com/locations/georgia/savannah/southside-savannah/,0,2,0,9.5
https://rodenlaw.com/locations/georgia/savannah/thunderbolt/,0,2,0,10.5
https://rodenlaw.com/locations/south-carolina/charleston/wadmalaw-island/,0,2,0,6.5
https://rodenlaw.com/locations/south-carolina/columbia/chapin/,0,2,0,5.5
https://rodenlaw.com/locations/south-carolina/columbia/springdale/,0,2,0,21
https://rodenlaw.com/locations/south-carolina/myrtle-beach/garden-city-beach/pier-area/,0,2,0,7
https://rodenlaw.com/locations/south-carolina/myrtle-beach/georgetown/historic-district/,0,2,0,30
https://rodenlaw.com/locations/south-carolina/myrtle-beach/green-sea/,0,2,0,6.5
https://rodenlaw.com/locations/south-carolina/myrtle-beach/longs/,0,2,0,10.5
https://rodenlaw.com/locations/south-carolina/myrtle-beach/loris/,0,2,0,9.5
https://rodenlaw.com/locations/south-carolina/myrtle-beach/myrtle-beach/grande-dunes/,0,2,0,39.5
https://rodenlaw.com/locations/south-carolina/myrtle-beach/surfside-beach/,0,2,0,5.5
https://rodenlaw.com/locations/south-carolina/myrtle-beach/surfside-beach/town-center/,0,2,0,8.5
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/devon-forest/,0,2,0,9.5
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/westchester/,0,2,0,8.5
https://rodenlaw.com/locations/south-carolina/north-charleston/northwoods/,0,2,0,6
https://rodenlaw.com/locations/south-carolina/north-charleston/olde-north-charleston/,0,2,0,2
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/summers-corner/,0,2,0,12
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/wescott/,0,2,0,7
https://rodenlaw.com/locations/georgia/darien/hoboken/,0,1,0,10
https://rodenlaw.com/locations/georgia/savannah/downtown-savannah/river-street/,0,1,0,9
https://rodenlaw.com/locations/georgia/savannah/isle-of-hope/,0,1,0,10
https://rodenlaw.com/locations/georgia/savannah/pooler/godley-station/,0,1,0,11
https://rodenlaw.com/locations/georgia/savannah/port-wentworth/town-center/,0,1,0,9
https://rodenlaw.com/locations/georgia/savannah/southside-savannah/savannah-quarters/,0,1,0,27
https://rodenlaw.com/locations/georgia/savannah/springfield/,0,1,0,7
https://rodenlaw.com/locations/georgia/savannah/tybee-island/,0,1,0,11
https://rodenlaw.com/locations/georgia/savannah/wilmington-island/,0,1,0,1
https://rodenlaw.com/locations/south-carolina/charleston/awendaw/,0,1,0,79
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/harleston-village/,0,1,0,11
https://rodenlaw.com/locations/south-carolina/charleston/mcclellanville/,0,1,0,7
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/shem-creek/,0,1,0,3
https://rodenlaw.com/locations/south-carolina/columbia/pine-ridge/,0,1,0,3
https://rodenlaw.com/locations/south-carolina/myrtle-beach/carolina-forest/the-farm/,0,1,0,8
https://rodenlaw.com/locations/south-carolina/myrtle-beach/conway/historic-district/,0,1,0,9
https://rodenlaw.com/locations/south-carolina/myrtle-beach/georgetown/,0,1,0,10
https://rodenlaw.com/locations/south-carolina/myrtle-beach/myrtle-beach/,0,1,0,1
https://rodenlaw.com/locations/south-carolina/north-charleston/dorchester-terrace-waylyn/,0,1,0,2
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/carnes-crossroads/,0,1,0,7
https://rodenlaw.com/locations/south-carolina/north-charleston/liberty-hill/,0,1,0,13
https://rodenlaw.com/locations/south-carolina/north-charleston/moncks-corner/,0,1,0,8
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/cane-bay/,0,1,0,6
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/knightsville/,0,1,0,9
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/pine-forest-inn/,0,1,0,9
