group,path,clicks16m,impr16m,pos16m,clicks28d,impr28d,pos28d,target,target_ok,inbound,es_twin,post_id
subloc,/locations/georgia/savannah/bryan-county/,1,146,9.9,0,5,17.6,/locations/georgia/savannah/,True,0,,3811
subloc,/locations/south-carolina/myrtle-beach/conway/,1,1185,11.8,0,55,15.4,/locations/south-carolina/myrtle-beach/,True,0,,3814
subloc,/locations/south-carolina/myrtle-beach/surfside-beach/,2,644,11.7,0,3,4.7,/locations/south-carolina/myrtle-beach/,True,0,,3817
subloc,/locations/south-carolina/myrtle-beach/georgetown/,1,540,13.6,0,5,18.0,/locations/south-carolina/myrtle-beach/,True,0,,3823
subloc,/locations/south-carolina/myrtle-beach/andrews/,1,241,22.8,0,53,21.0,/locations/south-carolina/myrtle-beach/,True,0,,3832
subloc,/locations/south-carolina/columbia/west-columbia/,2,1053,12.5,1,280,19.2,/locations/south-carolina/columbia/,True,0,,3840
subloc,/locations/south-carolina/columbia/cayce/,1,518,9.3,0,27,9.9,/locations/south-carolina/columbia/,True,0,,3841
subloc,/locations/south-carolina/columbia/forest-acres/,3,753,8.9,0,84,7.6,/locations/south-carolina/columbia/,True,0,,3846
subloc,/locations/south-carolina/columbia/chapin/,1,218,12.0,0,2,5.5,/locations/south-carolina/columbia/,True,0,,3850
subloc,/locations/south-carolina/columbia/batesburg-leesville/,1,667,24.4,0,6,7.7,/locations/south-carolina/columbia/,True,0,,3856
subloc,/locations/south-carolina/columbia/elgin/,2,833,24.3,0,54,25.9,/locations/south-carolina/columbia/,True,0,,3857
subloc,/locations/georgia/darien/brunswick/,10,3810,13.8,7,1254,16.8,/locations/georgia/darien/,True,0,,3863
subloc,/locations/georgia/darien/kingsland/,2,1709,12.9,0,187,20.1,/locations/georgia/darien/,True,0,,3865
subloc,/locations/georgia/darien/waycross/,4,1396,9.8,0,38,13.8,/locations/georgia/darien/,True,0,,3867
subloc,/locations/georgia/darien/jesup/,1,756,10.4,0,7,7.0,/locations/georgia/darien/,True,0,,3868
subloc,/locations/georgia/darien/folkston/,6,1331,14.4,0,111,15.6,/locations/georgia/darien/,True,0,,3869
subloc,/locations/georgia/darien/woodbine/,21,2416,10.1,0,186,13.2,/locations/georgia/darien/,True,0,,3872
subloc,/locations/georgia/darien/nahunta/,3,2630,7.0,0,35,5.1,/locations/georgia/darien/,True,0,,3873
subloc,/locations/georgia/darien/blackshear/,1,472,10.9,0,25,14.1,/locations/georgia/darien/,True,0,,3875
subloc,/locations/georgia/darien/alma/,2,643,9.5,1,35,9.4,/locations/georgia/darien/,True,0,,3876
subloc,/locations/georgia/darien/hoboken/,1,949,9.4,0,1,10.0,/locations/georgia/darien/,True,0,,3877
