year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2021,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.42978056,-80.488788890
2021,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.57253056,-80.381633330
2021,SC,I-95,CLARENDON (27),1,True,False,Rural,I-95,33.67735556,-80.264766670
2021,SC,I-26,DORCHESTER (35),1,True,False,Rural,I-26,33.20619444,-80.406447220
2021,SC,I-95,HAMPTON (49),2,False,False,Rural,I-95,32.68788889,-80.880719440
2021,SC,I-95,HAMPTON (49),1,False,False,Rural,I-95,32.71909444,-80.858311110
2021,SC,I-95,JASPER (53),1,True,True,Rural,I-95,32.25287500,-81.125552780
2021,SC,I-95,DILLON (33),2,True,True,Rural,I-95,34.32973333,-79.567813890
2021,SC,I-26,SPARTANBURG (83),1,False,False,Urban,I-26,34.93530000,-81.995161110
2021,SC,I-26,LEXINGTON (63),1,False,False,Urban,I-26,33.95163611,-81.091875000
2021,SC,I-26,LEXINGTON (63),2,False,False,Urban,I-26,33.88541111,-81.037900000
2021,SC,I-95,CHESTER (23),1,True,False,Rural,I-95,34.76482778,-81.037291670
2021,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.55098611,-80.406663890
2021,SC,I-26,SPARTANBURG (83),3,False,False,Urban,I-26,35.03647222,-82.037202780
2021,SC,I-26,SPARTANBURG (83),1,True,True,Urban,I-26,34.90348056,-81.991147220
2021,SC,I-26,RICHLAND (79),1,False,False,Urban,I-26,34.02857778,-81.101530560
2021,SC,I-95,HAMPTON (49),1,False,False,Rural,I-95,32.71056389,-80.866211110
2021,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.76238889,-80.178966670
2021,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.46067222,-80.732752780
2021,SC,I-95,FLORENCE (41),1,False,False,Urban,I-95,34.23003333,-79.799202780
2021,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.94950278,-80.059419440
