tier	traffic	risk	months_stale	type	locale	byline	url	risk_flags
P2	0	14	5	practice_area	en	y	/car-accident-lawyers/hit-and-run-accident/	statute,fault,sol,damages,medspecials
P2	0	14	5	practice_area	en	y	/practice-areas/pedestrian-accident-lawyers/	statute,fault,sol,damages,medspecials
P2	0	14	5	practice_area	en	y	/practice-areas/premises-liability-lawyers/	statute,fault,sol,damages,premises
P2	0	14	5	location	en	-	/locations/south-carolina/myrtle-beach/	statute,fault,sol,damages,premises
P2	0	14	5	location	en	-	/locations/south-carolina/charleston/	statute,fault,sol,damages,premises
P2	0	14	5	location	en	-	/locations/georgia/darien/	statute,fault,sol,damages,premises
P2	0	14	5	location	en	-	/locations/georgia/savannah/	statute,fault,sol,damages,premises
P2	0	14	5	location	en	-	/locations/south-carolina/	statute,fault,sol,damages,premises
P2	0	14	5	location	en	-	/locations/georgia/	statute,fault,sol,damages,premises
P2	0	14	4	post	en	y	/blog/what-to-do-after-car-accident-georgia/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/car-totaled-in-accident-what-to-do/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/average-personal-injury-settlement-amounts/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/switching-lawyers-during-a-case/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/claims-for-lost-wages/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/claims-against-at-fault-drivers-who-died/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/benefit-of-a-personal-injury-pain-diary/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/pedestrian-safety-georgia/	statute,fault,sol,damages,premises
P2	0	14	4	post	en	y	/blog/financial-abuse-at-nursing-homes/	statute,fault,sol,damages,premises
P2	0	14	4	post	en	y	/blog/how-do-i-know-if-i-have-a-medical-malpractice-case/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/steps-after-slip-and-fall-injury/	statute,fault,sol,damages,premises
P2	0	14	4	post	en	y	/blog/drunk-pedestrian-injury-claims/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/contingency-fee-system/	statute,fault,sol,premises,medspecials
P2	0	14	4	post	en	y	/blog/traffic-tickets-and-car-accident-claims/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/accident-claims-with-an-expired-license/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/5-most-common-types-of-medical-malpractice-in-2023/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/5-benefits-of-hiring-a-truck-accident-attorney-in-2023/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/the-importance-of-gathering-evidence-after-a-motorcycle-accident/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/columbia-dangerous-intersections-roads/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/dangerous-savannah-intersections/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/construction-worker-injuries-charleston-sc-rights/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/dog-bite-laws-south-carolina-charleston/	statute,fault,sol,damages,premises
P2	0	14	4	post	en	y	/blog/pedestrian-accidents-musc-charleston-medical-district/	statute,fault,sol,damages,premises
P2	0	14	4	post	en	y	/blog/jones-act-claims-south-carolina-maritime-worker-rights/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/shem-creek-boating-dock-injuries-mount-pleasant/	statute,fault,sol,damages,premises
P2	0	14	4	post	en	y	/blog/maybank-highway-car-accidents-johns-island/	statute,fault,sol,damages,medspecials
P2	0	14	4	post	en	y	/blog/charleston-medical-malpractice-hospital-claim-south-carolina/	statute,fault,sol,damages,medspecials
P2	0	14	4	practice_area	en	y	/bicycle-accident-lawyers/darien-ga/	statute,fault,sol,damages,medspecials
P2	0	14	4	practice_area	en	y	/bicycle-accident-lawyers/savannah-ga/	statute,fault,sol,damages,medspecials
P2	0	14	4	location	en	-	/locations/south-carolina/north-charleston/olde-north-charleston/	statute,fault,sol,damages,premises
P2	0	14	3	resource	en	y	/resources/what-to-do-after-car-accident-north-charleston/	statute,fault,sol,damages,medspecials
P2	0	14	2	post	en	y	/blog/us-17-i-95-darien-wrongful-death-mcintosh-county/	statute,fault,sol,damages,medspecials
P2	0	14	2	post	en	y	/blog/atlantic-coastal-highway-us-17-rideshare-uber-lyft-crash-savannah-intermodal-transit-center/	statute,fault,sol,damages,medspecials
P2	0	14	2	post	en	y	/blog/motorcycle-accident-i-95-glynn-county-brunswick-darien/	statute,fault,sol,damages,medspecials
